,Unnamed: 0,Time,Open,High,Low,Close,Volume,status
0,0,2017-05-22 20:00:00,2104.6,2154.2,2101.3,2192.9,81,1.0
1,1,2017-05-23 00:00:00,2142.4,2202.8,2100.4,2170.2,311,1.0
2,2,2017-05-23 04:00:00,2191.4,2209.1,2122.4,2227.8,299,1.0
3,3,2017-05-23 08:00:00,2170.1,2238.8,2113.1,2185.1,489,1.0
4,4,2017-05-23 12:00:00,2227.7,2266.5,2174.5,2215.4,638,-1.0
5,5,2017-05-23 16:00:00,2185.6,2269.6,2173.2,2280.1,439,1.0
6,6,2017-05-23 20:00:00,2233.0,2293.9,2190.4,2309.5,301,1.0
7,7,2017-05-24 00:00:00,2279.7,2317.8,2265.6,2332.9,416,1.0
8,8,2017-05-24 04:00:00,2310.0,2345.5,2263.7,2385.5,469,1.0
9,9,2017-05-24 08:00:00,2332.6,2385.7,2285.9,2422.7,578,1.0
10,10,2017-05-24 12:00:00,2385.9,2428.8,2311.7,2429.8,456,1.0
11,11,2017-05-24 16:00:00,2422.8,2435.0,2382.0,2443.3,103,1.0
12,12,2017-05-24 20:00:00,2420.5,2459.0,2393.4,2537.1,86,1.0
13,13,2017-05-25 00:00:00,2444.9,2596.3,2441.0,2663.7,314,1.0
14,14,2017-05-25 04:00:00,2537.4,2680.2,2472.8,2724.8,541,1.0
15,15,2017-05-25 08:00:00,2663.3,2787.7,2625.0,2508.5,529,-1.0
16,16,2017-05-25 12:00:00,2722.6,2799.0,2393.7,2462.5,732,-1.0
17,17,2017-05-25 16:00:00,2509.3,2555.4,2205.8,2473.0,564,-1.0
18,18,2017-05-25 20:00:00,2471.9,2595.0,2264.6,2467.1,645,-1.0
19,19,2017-05-26 00:00:00,2473.0,2523.5,2340.9,2635.2,644,1.0
20,20,2017-05-26 04:00:00,2472.0,2656.2,2420.0,2497.3,656,1.0
21,21,2017-05-26 08:00:00,2635.6,2661.5,2426.1,2389.4,597,-1.0
22,22,2017-05-26 12:00:00,2496.9,2513.0,2324.0,2241.6,563,-1.0
23,23,2017-05-26 16:00:00,2371.8,2390.2,2241.4,2189.7,222,-1.0
24,24,2017-05-28 20:00:00,2117.1,2248.3,2089.7,2147.1,476,1.0
25,25,2017-05-29 00:00:00,2226.6,2244.6,2094.4,2205.2,764,-1.0
26,26,2017-05-29 04:00:00,2147.1,2254.9,2104.4,2228.7,827,1.0
27,27,2017-05-29 08:00:00,2205.4,2277.7,2201.2,2267.3,864,1.0
28,28,2017-05-29 12:00:00,2229.4,2289.1,2201.6,2306.3,1082,1.0
29,29,2017-05-29 16:00:00,2267.3,2340.5,2218.7,2235.5,928,-1.0
30,30,2017-05-29 20:00:00,2307.5,2352.6,2200.2,2310.9,1199,1.0
31,31,2017-05-30 00:00:00,2236.0,2330.5,2231.7,2271.0,922,1.0
32,32,2017-05-30 04:00:00,2310.8,2319.3,2254.9,2289.8,924,-1.0
33,33,2017-05-30 08:00:00,2271.1,2322.7,2237.6,2258.1,958,-1.0
34,34,2017-05-30 12:00:00,2289.8,2297.0,2219.0,2248.4,687,-1.0
35,35,2017-05-30 16:00:00,2258.2,2275.3,2232.9,2232.2,508,-1.0
36,36,2017-05-30 20:00:00,2258.8,2258.8,2129.4,2204.5,805,-1.0
37,37,2017-05-31 00:00:00,2232.2,2244.1,2147.5,2211.2,920,-1.0
38,38,2017-05-31 04:00:00,2204.5,2254.1,2168.8,2209.0,972,1.0
39,39,2017-05-31 08:00:00,2211.3,2253.2,2192.9,2297.3,982,1.0
40,40,2017-05-31 12:00:00,2209.3,2316.8,2202.3,2285.3,572,1.0
41,41,2017-05-31 16:00:00,2297.2,2335.7,2273.8,2319.2,751,1.0
42,42,2017-05-31 20:00:00,2285.2,2321.2,2276.6,2397.1,633,1.0
43,43,2017-06-01 00:00:00,2319.3,2402.3,2311.3,2434.4,738,1.0
44,44,2017-06-01 04:00:00,2394.7,2449.8,2359.0,2450.6,290,1.0
45,45,2017-06-01 08:00:00,2434.4,2475.2,2403.5,2399.2,469,-1.0
46,46,2017-06-01 12:00:00,2450.0,2469.0,2378.1,2409.4,296,-1.0
47,47,2017-06-01 16:00:00,2355.9,2417.6,2319.7,2403.9,343,1.0
48,48,2017-06-01 20:00:00,2411.1,2419.1,2367.7,2429.9,475,1.0
49,49,2017-06-02 00:00:00,2403.9,2445.7,2380.1,2423.8,575,1.0
50,50,2017-06-02 04:00:00,2431.0,2449.0,2410.3,2425.1,529,-1.0
51,51,2017-06-02 08:00:00,2423.8,2441.6,2405.0,2425.2,694,1.0
52,52,2017-06-02 12:00:00,2424.8,2436.9,2379.4,2429.9,416,1.0
53,53,2017-06-02 16:00:00,2425.9,2436.3,2391.6,2546.8,512,1.0
54,54,2017-06-04 20:00:00,2505.1,2547.4,2500.8,2580.2,287,1.0
55,55,2017-06-05 00:00:00,2545.4,2591.4,2544.8,2565.2,459,1.0
