Time	Open	High	Low	Close	Volume
2018-04-17 00:00:00	0.256	0.288	0.24	0.25	68528740
2018-04-18 00:00:00	0.25	0.268	0.243	0.267	34320544
2018-04-19 00:00:00	0.267	0.278	0.258	0.277	50764252
2018-04-20 00:00:00	0.277	0.307	0.266	0.301	70923452
2018-04-21 00:00:00	0.301	0.302	0.265	0.28	90675604
2018-04-22 00:00:00	0.28	0.297	0.277	0.283	47818421
2018-04-23 00:00:00	0.283	0.295	0.281	0.295	37584881
2018-04-24 00:00:00	0.295	0.32	0.291	0.303	94809263
2018-04-25 00:00:00	0.303	0.309	0.255	0.267	123826691
2018-04-26 00:00:00	0.267	0.294	0.261	0.29	63875919
2018-04-27 00:00:00	0.29	0.306	0.281	0.288	69380513
2018-04-28 00:00:00	0.288	0.387	0.287	0.381	181816091
2018-04-29 00:00:00	0.381	0.385	0.342	0.359	153089911
2018-04-30 00:00:00	0.359	0.361	0.32	0.32	97464992
2018-05-01 00:00:00	0.32	0.36	0.319	0.351	113461226
2018-05-02 00:00:00	0.351	0.376	0.345	0.37	64204921
2018-05-03 00:00:00	0.37	0.389	0.364	0.365	90633948
2018-05-04 00:00:00	0.365	0.368	0.347	0.36	52382809
2018-05-05 00:00:00	0.36	0.374	0.359	0.365	47972724
2018-05-06 00:00:00	0.365	0.366	0.335	0.336	64011488
2018-05-07 00:00:00	0.336	0.338	0.291	0.336	63123179
2018-05-08 00:00:00	0.336	0.346	0.316	0.318	45871403
2018-05-09 00:00:00	0.318	0.325	0.298	0.321	60312230
2018-05-10 00:00:00	0.321	0.322	0.282	0.29	46354056
2018-05-11 00:00:00	0.29	0.293	0.249	0.264	134293526
2018-05-12 00:00:00	0.264	0.279	0.234	0.258	149410834
2018-05-13 00:00:00	0.258	0.285	0.256	0.275	79190773
2018-05-14 00:00:00	0.275	0.277	0.251	0.268	88373687
2018-05-15 00:00:00	0.268	0.275	0.251	0.252	44480705
2018-05-16 00:00:00	0.253	0.256	0.237	0.252	53970644
2018-05-17 00:00:00	0.252	0.261	0.23	0.233	42308109
2018-05-18 00:00:00	0.233	0.245	0.231	0.242	39059136
2018-05-19 00:00:00	0.243	0.248	0.236	0.24	31843387
2018-05-20 00:00:00	0.239	0.26	0.238	0.253	49231572
2018-05-21 00:00:00	0.253	0.26	0.243	0.245	40555505
2018-05-22 00:00:00	0.245	0.245	0.216	0.217	49364839
2018-05-23 00:00:00	0.217	0.221	0.193	0.202	108199067
2018-05-24 00:00:00	0.202	0.21	0.189	0.204	77820692
2018-05-25 00:00:00	0.204	0.209	0.194	0.198	74916498
2018-05-26 00:00:00	0.198	0.204	0.192	0.193	78050609
2018-05-27 00:00:00	0.193	0.195	0.19	0.193	67164053
2018-05-28 00:00:00	0.193	0.194	0.171	0.174	97571108
2018-05-29 00:00:00	0.175	0.215	0.171	0.215	160244801
2018-05-30 00:00:00	0.214	0.217	0.197	0.207	164983263
2018-05-31 00:00:00	0.207	0.229	0.203	0.223	167370414
2018-06-01 00:00:00	0.223	0.229	0.213	0.217	120735671
2018-06-02 00:00:00	0.218	0.23	0.217	0.229	111100839
2018-06-03 00:00:00	0.229	0.237	0.223	0.229	119951130
2018-06-04 00:00:00	0.229	0.23	0.209	0.212	115929514
2018-06-05 00:00:00	0.212	0.222	0.202	0.218	126042469
2018-06-06 00:00:00	0.218	0.218	0.208	0.217	95388982
2018-06-07 00:00:00	0.218	0.219	0.208	0.21	88356015
2018-06-08 00:00:00	0.21	0.21	0.2	0.205	88262230
2018-06-09 00:00:00	0.205	0.21	0.192	0.192	83630896
2018-06-10 00:00:00	0.192	0.195	0.168	0.17	138249218
2018-06-11 00:00:00	0.17	0.181	0.164	0.177	88580303
2018-06-12 00:00:00	0.177	0.181	0.158	0.162	91694416
2018-06-13 00:00:00	0.163	0.166	0.145	0.156	124300841
2018-06-14 00:00:00	0.156	0.177	0.153	0.169	200054418
2018-06-15 00:00:00	0.169	0.17	0.16	0.162	116302311
2018-06-16 00:00:00	0.162	0.164	0.158	0.163	75979964
2018-06-17 00:00:00	0.163	0.164	0.159	0.16	84530033
2018-06-18 00:00:00	0.16	0.168	0.155	0.165	104086701
2018-06-19 00:00:00	0.165	0.171	0.161	0.161	97723472
2018-06-20 00:00:00	0.161	0.164	0.157	0.161	97559890
2018-06-21 00:00:00	0.161	0.164	0.157	0.158	82159901
2018-06-22 00:00:00	0.158	0.159	0.134	0.141	131381088
2018-06-23 00:00:00	0.141	0.142	0.133	0.136	87641037
2018-06-24 00:00:00	0.137	0.137	0.119	0.132	144357086
2018-06-25 00:00:00	0.132	0.139	0.126	0.132	113984190
2018-06-26 00:00:00	0.132	0.134	0.124	0.125	65059275
2018-06-27 00:00:00	0.125	0.129	0.123	0.128	91914359
2018-06-28 00:00:00	0.128	0.128	0.117	0.119	102024051
2018-06-29 00:00:00	0.119	0.13	0.114	0.129	130928718
2018-06-30 00:00:00	0.129	0.141	0.129	0.137	164597535
2018-07-01 00:00:00	0.137	0.146	0.133	0.143	151728980
2018-07-02 00:00:00	0.143	0.162	0.138	0.151	190694019
2018-07-03 00:00:00	0.151	0.161	0.148	0.148	177903549
2018-07-04 00:00:00	0.148	0.16	0.146	0.151	106398301
2018-07-05 00:00:00	0.151	0.156	0.143	0.145	122665371
2018-07-06 00:00:00	0.145	0.146	0.138	0.144	94310628
2018-07-07 00:00:00	0.144	0.15	0.137	0.147	97819473
2018-07-08 00:00:00	0.147	0.149	0.144	0.145	86041025
2018-07-09 00:00:00	0.145	0.145	0.138	0.139	76474684
2018-07-10 00:00:00	0.139	0.139	0.127	0.131	114001142
2018-07-11 00:00:00	0.131	0.134	0.125	0.13	95963982
2018-07-12 00:00:00	0.13	0.13	0.122	0.127	89970990
2018-07-13 00:00:00	0.127	0.144	0.125	0.138	153925115
2018-07-14 00:00:00	0.137	0.141	0.133	0.136	116332099
2018-07-15 00:00:00	0.135	0.146	0.135	0.143	103573420
2018-07-16 00:00:00	0.143	0.159	0.14	0.156	156229790
