Time	Open	High	Low	Close	Volume
2018-04-17 00:00:00	0.256	0.288	0.256	0.267	8143695
2018-04-17 04:00:00	0.267	0.278	0.248	0.256	24934105
2018-04-17 08:00:00	0.256	0.267	0.253	0.258	10669746
2018-04-17 12:00:00	0.258	0.26	0.253	0.253	8244641
2018-04-17 16:00:00	0.253	0.258	0.248	0.255	10153461
2018-04-17 20:00:00	0.255	0.255	0.24	0.25	6383092
2018-04-18 00:00:00	0.25	0.251	0.245	0.246	2775858
2018-04-18 04:00:00	0.246	0.253	0.243	0.25	6269435
2018-04-18 08:00:00	0.25	0.254	0.247	0.252	3654658
2018-04-18 12:00:00	0.252	0.255	0.246	0.254	5786470
2018-04-18 16:00:00	0.254	0.26	0.251	0.259	6327301
2018-04-18 20:00:00	0.259	0.268	0.258	0.267	9506822
2018-04-19 00:00:00	0.267	0.275	0.264	0.268	10651413
2018-04-19 04:00:00	0.268	0.269	0.258	0.262	10881123
2018-04-19 08:00:00	0.262	0.268	0.26	0.267	5433448
2018-04-19 12:00:00	0.267	0.275	0.265	0.27	9809019
2018-04-19 16:00:00	0.27	0.274	0.268	0.269	5670406
2018-04-19 20:00:00	0.269	0.278	0.268	0.277	8318843
2018-04-20 00:00:00	0.277	0.285	0.27	0.27	14067721
2018-04-20 04:00:00	0.27	0.28	0.266	0.276	9738652
2018-04-20 08:00:00	0.275	0.291	0.27	0.287	12394660
2018-04-20 12:00:00	0.287	0.289	0.283	0.287	7711876
2018-04-20 16:00:00	0.288	0.298	0.286	0.295	11591359
2018-04-20 20:00:00	0.295	0.307	0.292	0.301	15419184
2018-04-21 00:00:00	0.301	0.301	0.288	0.296	15856176
2018-04-21 04:00:00	0.296	0.302	0.283	0.286	16755537
2018-04-21 08:00:00	0.286	0.29	0.265	0.281	28560336
2018-04-21 12:00:00	0.281	0.294	0.276	0.282	15637977
2018-04-21 16:00:00	0.282	0.288	0.279	0.28	7270654
2018-04-21 20:00:00	0.28	0.288	0.276	0.28	6594924
2018-04-22 00:00:00	0.28	0.286	0.277	0.281	6592897
2018-04-22 04:00:00	0.281	0.293	0.28	0.291	8602705
2018-04-22 08:00:00	0.291	0.297	0.283	0.288	13110293
2018-04-22 12:00:00	0.288	0.294	0.287	0.29	8823714
2018-04-22 16:00:00	0.29	0.292	0.286	0.288	4664927
2018-04-22 20:00:00	0.288	0.29	0.28	0.283	6023885
2018-04-23 00:00:00	0.283	0.287	0.281	0.282	4500694
2018-04-23 04:00:00	0.282	0.289	0.281	0.286	7288805
2018-04-23 08:00:00	0.287	0.289	0.283	0.286	7417415
2018-04-23 12:00:00	0.286	0.287	0.284	0.285	6396184
2018-04-23 16:00:00	0.285	0.286	0.281	0.284	4265022
2018-04-23 20:00:00	0.284	0.295	0.283	0.295	7716761
2018-04-24 00:00:00	0.295	0.302	0.291	0.302	15325642
2018-04-24 04:00:00	0.302	0.302	0.294	0.297	8748854
2018-04-24 08:00:00	0.297	0.32	0.297	0.315	18837337
2018-04-24 12:00:00	0.315	0.317	0.298	0.311	21455302
2018-04-24 16:00:00	0.311	0.32	0.309	0.317	11302787
2018-04-24 20:00:00	0.317	0.319	0.295	0.303	19139341
2018-04-25 00:00:00	0.303	0.309	0.265	0.269	29517597
2018-04-25 04:00:00	0.269	0.291	0.269	0.279	18194379
2018-04-25 08:00:00	0.278	0.283	0.265	0.277	23097491
2018-04-25 12:00:00	0.277	0.277	0.257	0.27	24597491
2018-04-25 16:00:00	0.27	0.284	0.27	0.284	10196842
2018-04-25 20:00:00	0.284	0.287	0.255	0.267	18222891
2018-04-26 00:00:00	0.267	0.275	0.261	0.274	10954690
2018-04-26 04:00:00	0.274	0.279	0.266	0.267	11076584
2018-04-26 08:00:00	0.267	0.279	0.262	0.278	10576701
2018-04-26 12:00:00	0.278	0.283	0.271	0.282	11192895
2018-04-26 16:00:00	0.282	0.288	0.278	0.288	7838652
2018-04-26 20:00:00	0.288	0.294	0.284	0.29	12236397
2018-04-27 00:00:00	0.29	0.293	0.284	0.287	8722556
2018-04-27 04:00:00	0.287	0.292	0.281	0.29	7733357
2018-04-27 08:00:00	0.29	0.306	0.289	0.301	14779226
2018-04-27 12:00:00	0.302	0.304	0.295	0.301	13991212
2018-04-27 16:00:00	0.301	0.305	0.284	0.286	13531868
2018-04-27 20:00:00	0.286	0.294	0.282	0.288	10622294
2018-04-28 00:00:00	0.288	0.301	0.287	0.298	12318549
2018-04-28 04:00:00	0.298	0.314	0.298	0.309	21208153
