,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Open,High,Low,Close,Volume
0,0,749,749,2017-11-17 20:00:00,7692,7717,7580,7697,111
1,1,2980,2980,2019-04-18 12:00:00,5193,5231,5173,5207,9
2,2,7301,7301,2022-01-10 04:00:00,42162,42171,41676,41764,8
3,3,3166,3166,2019-05-31 12:00:00,8247,8406,8245,8327,45
4,4,2166,2166,2018-10-12 04:00:00,6207,6232,6163,6205,8
5,5,3821,3821,2019-10-31 16:00:00,9208,9228,9099,9154,85
6,6,991,991,2018-01-12 20:00:00,13844,13850,13682,13697,31
7,7,6937,6937,2021-10-19 04:00:00,62365,62499,61712,62479,8
8,8,4253,4253,2020-02-12 08:00:00,10244,10329,10194,10297,79
9,9,6264,6264,2021-05-19 12:00:00,34317,40238,29814,39742,8
10,10,2095,2095,2018-09-26 08:00:00,6389,6470,6373,6434,8
11,11,5668,5668,2021-01-05 08:00:00,31189,32063,31121,31608,8
12,12,779,779,2017-11-24 16:00:00,8186,8288,8167,8226,274
13,13,2630,2630,2019-01-29 04:00:00,3345,3346,3285,3315,8
14,14,5981,5981,2021-03-16 20:00:00,56339,57130,56078,56515,8
15,15,6773,6773,2021-09-10 20:00:00,45029,45219,44123,44541,2
16,16,5653,5653,2020-12-31 00:00:00,29108,29169,28208,29011,8
17,17,4575,4575,2020-04-28 00:00:00,7698,7702,7616,7641,125
18,18,5179,5179,2020-09-15 12:00:00,10894,10901,10686,10764,8
19,19,6236,6236,2021-05-13 00:00:00,49680,50950,49431,50457,8
20,20,7576,7576,2022-03-11 16:00:00,38674,38912,38273,38332,8
21,21,7746,7746,2022-04-20 08:00:00,41444,42153,41415,42071,8
22,22,5705,5705,2021-01-13 08:00:00,34478,35200,33997,34198,8
23,23,3577,3577,2019-09-05 00:00:00,10468,10566,10452,10537,76
24,24,2385,2385,2018-12-03 00:00:00,4012,4046,3851,3909,8
25,25,1647,1647,2018-06-13 16:00:00,6210,6300,6165,6194,154
26,26,1329,1329,2018-03-30 16:00:00,6603,6850,6532,6793,434
27,27,1737,1737,2018-07-04 16:00:00,6607,6637,6604,6626,119
28,28,862,862,2017-12-14 00:00:00,16538,16639,16029,16496,318
29,29,3206,3206,2019-06-11 04:00:00,7892,7910,7854,7899,12
30,30,7726,7726,2022-04-15 04:00:00,40059,40397,39922,40109,8
31,31,6546,6546,2021-07-22 00:00:00,32022,32172,31754,32024,8
32,32,6854,6854,2021-09-29 20:00:00,41064,42342,40906,42269,8
33,33,5742,5742,2021-01-21 08:00:00,33198,33420,31258,32441,23875
34,34,3028,3028,2019-04-30 12:00:00,5154,5227,5138,5189,11
35,35,7601,7601,2022-03-17 16:00:00,40825,40931,40559,40665,8
